FIPS,County,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,New Georeferenced Column,US States,Counties,New Georeferenced Column_1
49007,Carbon,Utah,US,04/14/2020 11:33:00 PM,39.64834818,-110.5872512,2,0,0,2,"Carbon, Utah, US",POINT (-110.58725120000001 39.64834818),28,1233,POINT (-110.5872512 39.64834818)
49017,Garfield,Utah,US,04/14/2020 11:33:00 PM,37.85447192,-111.4418764,1,0,0,1,"Garfield, Utah, US",POINT (-111.4418764 37.85447192),28,2274,POINT (-111.4418764 37.85447192)
49005,Cache,Utah,US,04/14/2020 11:33:00 PM,41.72330587,-111.7443667,36,0,0,36,"Cache, Utah, US",POINT (-111.74436670000001 41.72330587),28,2108,POINT (-111.7443667 41.72330587)
49053,Washington,Utah,US,04/14/2020 11:33:00 PM,37.3225,-113.4776,45,1,0,44,"Washington, Utah, US",POINT (-113.4776 37.3225),28,2996,POINT (-113.4776 37.3225)
49043,Summit,Utah,US,04/14/2020 11:33:00 PM,40.86688146,-110.9535882,306,0,0,306,"Summit, Utah, US",POINT (-110.9535882 40.86688146),28,2605,POINT (-110.9535882 40.86688146)
49003,Box Elder,Utah,US,04/14/2020 11:33:00 PM,41.52106798,-113.0832816,13,0,0,13,"Box Elder, Utah, US",POINT (-113.08328159999999 41.52106798),28,2303,POINT (-113.0832816 41.52106798)
49011,Davis,Utah,US,04/14/2020 11:33:00 PM,40.99001837,-112.1139997,211,2,0,209,"Davis, Utah, US",POINT (-112.1139997 40.99001837),28,2775,POINT (-112.1139997 40.99001837)
49047,Uintah,Utah,US,04/14/2020 11:33:00 PM,40.12491499,-109.5174415,6,0,0,6,"Uintah, Utah, US",POINT (-109.5174415 40.12491499),28,735,POINT (-109.5174415 40.12491499)
49045,Tooele,Utah,US,04/14/2020 11:33:00 PM,40.44862644,-113.1295715,34,0,0,34,"Tooele, Utah, US",POINT (-113.12957150000001 40.44862644),28,3006,POINT (-113.1295715 40.44862644)
49021,Iron,Utah,US,04/14/2020 11:33:00 PM,37.8590362,-113.2897381,15,0,0,15,"Iron, Utah, US",POINT (-113.28973810000001 37.85903620000001),28,2506,POINT (-113.2897381 37.8590362)
49049,Utah,Utah,US,04/14/2020 11:33:00 PM,40.1166722,-111.6657662,335,2,0,333,"Utah, Utah, US",POINT (-111.66576620000001 40.116672200000004),28,1019,POINT (-111.6657662 40.1166722)
49035,Salt Lake,Utah,US,04/14/2020 11:33:00 PM,40.66616532,-111.9216011,1187,7,0,1180,"Salt Lake, Utah, US",POINT (-111.92160109999999 40.66616532),28,2293,POINT (-111.9216011 40.66616532)
49013,Duchesne,Utah,US,04/14/2020 11:33:00 PM,40.29772254,-110.425237,3,0,0,3,"Duchesne, Utah, US",POINT (-110.42523700000001 40.29772254),28,2863,POINT (-110.425237 40.29772254)
49051,Wasatch,Utah,US,04/14/2020 11:33:00 PM,40.33110236,-111.1691419,102,0,0,102,"Wasatch, Utah, US",POINT (-111.1691419 40.33110236),28,1955,POINT (-111.1691419 40.33110236)
49037,San Juan,Utah,US,04/14/2020 11:33:00 PM,37.62762978,-109.8033714,9,0,0,9,"San Juan, Utah, US",POINT (-109.80337140000002 37.62762978),28,1966,POINT (-109.8033714 37.62762978)
49019,Grand,Utah,US,04/14/2020 11:33:00 PM,38.98103848,-109.5704487,1,0,0,1,"Grand, Utah, US",POINT (-109.5704487 38.98103848),28,1234,POINT (-109.5704487 38.98103848)
,Weber,Utah,US,04/14/2020 11:33:00 PM,41.27116049,-111.9145117,105,1,0,104,"Weber, Utah, US",POINT (-111.9145117 41.27116049),28,1461,POINT (-111.9145117 41.27116049)
49025,Kane,Utah,US,04/14/2020 11:33:00 PM,37.28507306,-111.8861752,3,0,0,3,"Kane, Utah, US",POINT (-111.88617520000001 37.28507306),28,2705,POINT (-111.8861752 37.28507306)
49015,Emery,Utah,US,04/14/2020 11:33:00 PM,38.99617072,-110.7013958,3,0,0,3,"Emery, Utah, US",POINT (-110.70139579999999 38.99617072),28,1932,POINT (-110.7013958 38.99617072)
